"No.","Time","Source","Destination","Protocol","Length","Info"
"25604","3.821283","50.88.33.80","10.10.10.10","TCP","60","36449  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25605","3.821283","189.105.101.29","10.10.10.10","TCP","60","62078  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25606","3.821284","178.241.216.152","10.10.10.10","TCP","60","36147  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25607","3.821284","106.45.239.173","10.10.10.10","TCP","60","11196  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25608","3.821285","105.180.233.6","10.10.10.10","TCP","60","11833  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25609","3.821286","172.34.109.21","10.10.10.10","TCP","60","54529  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25610","3.821384","198.212.138.103","10.10.10.10","TCP","60","36977  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25611","3.821385","38.77.86.242","10.10.10.10","TCP","60","3239  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25612","3.821385","30.199.74.204","10.10.10.10","TCP","60","32902  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25613","3.821386","137.237.46.235","10.10.10.10","TCP","60","49573  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25614","3.821386","28.86.120.76","10.10.10.10","TCP","60","38801  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25615","3.821387","30.219.214.243","10.10.10.10","TCP","60","19816  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25616","3.821387","167.234.144.116","10.10.10.10","TCP","60","23118  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25617","3.821388","22.150.58.206","10.10.10.10","TCP","60","55043  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25618","3.821479","98.223.113.77","10.10.10.10","TCP","60","60910  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25619","3.821479","110.255.254.4","10.10.10.10","TCP","60","20998  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25620","3.821480","28.69.233.213","10.10.10.10","TCP","60","28148  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25621","3.821480","207.103.101.99","10.10.10.10","TCP","60","10660  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25622","3.821481","20.233.58.152","10.10.10.10","TCP","60","26138  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25623","3.821482","36.61.206.235","10.10.10.10","TCP","60","63191  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25624","3.821482","26.101.191.90","10.10.10.10","TCP","60","64945  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25625","3.821483","82.76.140.180","10.10.10.10","TCP","60","55552  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25626","3.821580","137.245.100.59","10.10.10.10","TCP","60","17488  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25627","3.821581","167.153.236.173","10.10.10.10","TCP","60","7  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25628","3.821581","90.55.151.180","10.10.10.10","TCP","60","27425  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25629","3.821582","4.93.180.129","10.10.10.10","TCP","60","11727  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25630","3.821582","154.199.222.150","10.10.10.10","TCP","60","22037  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25631","3.821583","203.66.142.156","10.10.10.10","TCP","60","12660  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25632","3.821584","11.77.173.58","10.10.10.10","TCP","60","37925  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25633","3.821584","125.120.233.37","10.10.10.10","TCP","60","41234  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25634","3.821684","38.73.87.134","10.10.10.10","TCP","60","45759  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25635","3.821684","77.57.143.80","10.10.10.10","TCP","60","36313  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25636","3.821685","176.150.11.178","10.10.10.10","TCP","60","35080  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25637","3.821685","180.79.202.23","10.10.10.10","TCP","60","63539  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25638","3.821686","1.12.165.73","10.10.10.10","TCP","60","25193  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25639","3.821686","105.139.145.42","10.10.10.10","TCP","60","22627  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25640","3.821687","203.65.54.72","10.10.10.10","TCP","60","18774  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25641","3.821688","70.157.80.155","10.10.10.10","TCP","60","19653  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25642","3.821799","185.2.157.195","10.10.10.10","TCP","60","6861  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25643","3.821800","85.81.46.155","10.10.10.10","TCP","60","23464  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25644","3.821800","118.85.184.136","10.10.10.10","TCP","60","22509  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25645","3.821801","215.92.46.172","10.10.10.10","TCP","60","34656  >  25565 [SYN] Seq=0 Win=0 Len=0"
